street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
2707N 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,38220,201524,5/19/21,245000
2806N 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1930,38220,187270,11/5/20,199000
1607 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1961,55094,87127,7/30/20,103000
1801E 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2019,41278,175608,10/28/21,270000
1809E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,46267,240189,9/4/20,45000
1807E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,46267,199557,5/28/21,290000
1805E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1960,46267,89175,5/25/22,185000
1907E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1920,61740,186781,5/13/21,286500
2901N 19TH ST,TAMPA,33605,FL,SINGLE FAMILY,5,2,1930,42840,120995,2/3/22,265000
1908E 19TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1967,52500,222246,1/13/22,100
1912E 19TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1.5,1967,52500,108959,8/26/21,209900
2824N 19TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1913,61740,203547,12/17/21,298000
2818N 19TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,39312,161804,1/13/21,260000
1813 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,38220,124768,2/18/22,100
1805E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1923,38220,141421,9/2/20,210000
1801E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,38220,78350,3/4/22,189000
1818E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,38220,103873,8/17/21,100
1905E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1918,38220,138942,1/28/22,207000
2912 BANZA ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1949,33412,53122,8/4/20,78000
2904 BANZA ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,2021,33412,327221,9/13/21,325000
2911N BANZA ST,TAMPA,33605,FL,SINGLE FAMILY,3,3,2021,33412,279862,12/17/21,321400
2909N BANZA ST,TAMPA,33605,FL,SINGLE FAMILY,3,3,2021,33412,279862,12/23/21,319000
2909N 21ST ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1915,61861,98488,3/5/21,140000
2102E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1923,26796,69814,8/20/21,132000
2810N 21ST ST,TAMPA,33605,FL,SINGLE FAMILY,3,3,2020,33412,272996,12/30/20,273500
2808N 21ST ST,TAMPA,33605,FL,SINGLE FAMILY,3,3,2020,33412,268160,9/4/20,275000
2802 21ST ST,TAMPA,33605,FL,SINGLE FAMILY,6,3,1923,47754,89906,8/13/21,138000
2012 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1945,33412,56027,2/18/22,80000
2801N 20TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1964,54540,221746,7/17/20,242000
1215E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2006,111794,190586,12/31/21,372000
3509N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,6,3,1927,74842,381516,2/19/21,375000
3208E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,41182,216568,2/2/21,259000
3201 CHIPCO ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1928,48450,136058,10/29/21,210000
3105E 29TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1926,45220,240097,7/27/21,316000
3108E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1965,41182,168590,11/22/21,259000
